sample_id,lang,report_stem,topic,metric_code,gold_pages,has_gold,candidate_recall_at10,candidate_recall_vlm_pool,vlm_pool_size,fused_top1,fused_top5,fused_hit_at_1,fused_hit_at_5,fused_hit_at_10,fused_near_at_1,fused_reciprocal_rank,vlm_top1,vlm_top5,vlm_hit_at_1,vlm_hit_at_5,vlm_hit_at_10,vlm_near_at_1,vlm_reciprocal_rank,no_relevant_page,category
412c5d2deb01e84befa2,chinese,gtg,Integrity of Gas Delivery Infrastructure,IF-GU-540a.4,29|30|32,True,True,True,20,52,52|54|33|27|31,0.0,0.0,1.0,0.0,0.125,52,52|54|33|27|31,0.0,0.0,1.0,0.0,0.125,True,neither_top1
49fb7153e06aedceb2fe,chinese,gtg,Energy Affordability,IF-GU-240a.3,,False,,,20,52,52|40|33|54|41,,,,,,52,52|40|33|54|41,,,,,,True,empty_gold
51517c0b380c8853c513,chinese,gtg,Activity Metrics,IF-GU-000.B,,False,,,20,52,52|33|38|12|30,,,,,,52,52|33|38|12|30,,,,,,False,empty_gold
51f1b3e59a3ccba9b62a,chinese,gtg,Activity Metrics,IF-GU-000.B,,False,,,20,52,52|33|39|30|12,,,,,,52,52|33|39|30|12,,,,,,True,empty_gold
589088d850c91597c388,chinese,gtg,Integrity of Gas Delivery Infrastructure,IF-GU-540a.1,,False,,,20,33,33|54|27|52|29,,,,,,52,52|33|27|30|29,,,,,,False,empty_gold
6a8c4ff0a242687137fb,chinese,gtg,Activity Metrics,IF-GU-000.A,,False,,,20,52,52|41|39|44|45,,,,,,52,52|41|39|44|45,,,,,,False,empty_gold
71b1be64304c5b107915,chinese,gtg,End-Use Efficiency,IF-GU-420a.2,,False,,,20,52,52|41|54|33|39,,,,,,52,52|41|54|33|39,,,,,,True,empty_gold
7fceb86040e6aa782e4c,chinese,gtg,Energy Affordability,IF-GU-240a.1,,False,,,20,52,52|54|41|33|40,,,,,,52,52|54|41|33|40,,,,,,True,empty_gold
830241f03b1b5a2cd1fe,chinese,gtg,Integrity of Gas Delivery Infrastructure,IF-GU-540a.2,,False,,,20,33,33|54|52|30|31,,,,,,52,52|33|30|28|29,,,,,,False,empty_gold
86aa461b0657239b9afe,chinese,gtg,Integrity of Gas Delivery Infrastructure,IF-GU-540a.2,,False,,,20,33,33|52|54|30|31,,,,,,33,33|52|54|30|31,,,,,,True,empty_gold
8a629981505312004cb2,chinese,gtg,Activity Metrics,IF-GU-000.B,,False,,,20,52,52|33|12|39|30,,,,,,52,52|33|12|39|30,,,,,,False,empty_gold
8b442a632f061d6dec09,chinese,gtg,Energy Affordability,IF-GU-240a.3,,False,,,20,52,52|38|54|41|50,,,,,,52,52|38|54|41|50,,,,,,True,empty_gold
8f369bf60d5f40ff42f2,chinese,gtg,Activity Metrics,IF-GU-000.A,,False,,,20,52,52|41|39|44|45,,,,,,33,33|52|41|39|44,,,,,,False,empty_gold
a743f5d239b7b13e4248,chinese,gtg,Energy Affordability,IF-GU-240a.4,,False,,,20,52,52|33|54|42|35,,,,,,52,52|33|54|42|35,,,,,,True,empty_gold
bcc995e590728abad9b2,chinese,gtg,Integrity of Gas Delivery Infrastructure,IF-GU-540a.1,,False,,,20,54,54|33|52|27|29,,,,,,52,52|35|29|42|27,,,,,,False,empty_gold
c6062ddafab0db8a96ff,chinese,gtg,Energy Affordability,IF-GU-240a.1,,False,,,20,52,52|54|41|51|40,,,,,,52,52|54|41|51|40,,,,,,True,empty_gold
efa0ead125159b80ddd8,chinese,gtg,Activity Metrics,IF-GU-000.B,,False,,,20,52,52|33|12|39|30,,,,,,52,52|33|12|39|30,,,,,,False,empty_gold
f0043dd3f1ef117bc445,chinese,gtg,Integrity of Gas Delivery Infrastructure,IF-GU-540a.2,,False,,,20,33,33|52|54|30|31,,,,,,52,52|29|28|33|54,,,,,,False,empty_gold
4702c5404d863e1c9e81,chinese,inx,材料取得,TC-SC-440a.1,70,True,True,True,20,174,174|70|67|130|152,0.0,1.0,1.0,0.0,0.5,70,70|69|67|127|174,1.0,1.0,1.0,1.0,1.0,False,vlm_improved_top1
683c9ddef4d92b35892f,chinese,inx,供應鏈管理,,69,True,False,False,20,170,170|172|171|174|121,0.0,0.0,0.0,0.0,0.05,174,174|171|172|170|173,0.0,0.0,0.0,0.0,0.0,False,candidate_recall_miss
6dd8c057d87af2fb9492,chinese,inx,供應鏈管理,,69,True,False,False,20,170,170|121|130|171|167,0.0,0.0,0.0,0.0,0.05555555555555555,170,170|121|130|171|167,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
719cd29975ae456e1d68,chinese,inx,供應鏈管理,,69,True,False,False,20,170,170|121|130|171|167,0.0,0.0,0.0,0.0,0.05555555555555555,170,170|171|167|169|168,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
84039f11f928fe883eac,chinese,inx,供應鏈管理,,69,True,False,False,20,170,170|172|130|171|167,0.0,0.0,0.0,0.0,0.05263157894736842,174,174|170|172|130|171,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
c1fa043be97f6421fb87,chinese,inx,供應鏈管理,,69,True,False,True,20,67,67|170|172|174|121,0.0,0.0,0.0,0.0,0.05,174,174|67|121|170|172,0.0,0.0,1.0,0.0,0.1111111111111111,False,candidate_recall_miss
da7820ce83cf834a6a80,chinese,inx,員工多元及包容性,TC-SC-330a.1,84,True,False,False,20,69,69|91|106|174|97,0.0,0.0,0.0,0.0,0.0,69,69|91|106|174|97,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
ded84d16a6c52b620891,chinese,inx,員工多元及包容性,TC-SC-330a.1,84,True,False,False,20,69,69|91|106|174|67,0.0,0.0,0.0,0.0,0.0,69,69|91|106|174|67,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
2f0d501707150c50147d,chinese,kye,員工多元及包容性,TC-SC-330a.1,,False,,,20,73,73|77|80|76|72,,,,,,77,77|80|76|72|6,,,,,,True,empty_gold
433fe03fd13edfdbc835,chinese,kye,員工多元及包容性,TC-SC-330a.1,22,True,False,False,20,73,73|77|80|76|72,0.0,0.0,0.0,0.0,0.0,75,75|77|80|76|73,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
fd7ea4f0c26bac7af415,chinese,kye,材料取得,TC-SC-440a.1,,False,,,20,68,68|67|57|92|70,,,,,,54,54|92|57|68|67,,,,,,False,empty_gold
86c4136268c386bb09dd,chinese,largan,員工多元及包容性,TC-SC-330a.1,75,True,True,True,20,104,104|76|75|105|72,0.0,1.0,1.0,0.0,0.3333333333333333,75,75|76|105|72|74,1.0,1.0,1.0,1.0,1.0,False,vlm_improved_top1
879f4ccca3b0168546ea,chinese,largan,員工多元及包容性,TC-SC-330a.1,75,True,True,True,20,104,104|75|105|76|72,0.0,1.0,1.0,0.0,0.5,75,75|76|105|104|74,1.0,1.0,1.0,1.0,1.0,True,vlm_improved_top1
d1b6a6f27c23b9f59553,chinese,largan,員工多元及包容性,TC-SC-330a.1,75,True,True,True,20,104,104|105|75|76|72,0.0,1.0,1.0,0.0,0.3333333333333333,75,75|76|73|104|105,1.0,1.0,1.0,1.0,1.0,True,vlm_improved_top1
f756a038fe92c49c5dae,chinese,largan,產品安全,TC-SC-410a.1,40,True,False,False,20,58,58|17|105|57|53,0.0,0.0,0.0,0.0,0.0,58,58|17|105|57|53,0.0,0.0,0.0,0.0,0.0,False,candidate_recall_miss
1b25879862e5e4fc7141,chinese,mfhc,資料安全,,40,True,False,False,20,69,69|56|70|66|57,0.0,0.0,0.0,0.0,0.0,69,69|56|70|66|57,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
2582bba597c91b02e937,chinese,mfhc,一般資訊,FN-CB-000.B,34,True,True,True,20,34,34|86|7|82|35,1.0,1.0,1.0,1.0,1.0,86,86|34|7|82|35,0.0,1.0,1.0,0.0,0.5,False,vlm_degraded_top1
30746a55421ccf91d297,chinese,mfhc,資料安全,,40,True,False,False,20,69,69|73|56|66|95,0.0,0.0,0.0,0.0,0.041666666666666664,69,69|73|56|66|95,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
38c836092dc2e68f4343,chinese,mfhc,一般資訊,FN-CB-000.A,34,True,True,True,20,7,7|86|34|35|82,0.0,1.0,1.0,0.0,0.3333333333333333,92,92|6|87|84|88,0.0,0.0,0.0,0.0,0.06666666666666667,True,neither_top1
48a748982794bdd26320,chinese,mfhc,一般資訊,FN-CB-000.B,34,True,True,True,20,92,92|35|86|34|42,0.0,1.0,1.0,0.0,0.25,34,34|92|35|86|42,1.0,1.0,1.0,1.0,1.0,True,vlm_improved_top1
6be02c68fb62c73ae06d,chinese,mfhc,將環境、社會及治理因素納入信用分析,FN-CB-410a.2,30,True,True,True,20,92,92|82|83|28|30,0.0,1.0,1.0,0.0,0.2,92,92|82|83|28|30,0.0,1.0,1.0,0.0,0.2,False,neither_top1
6dc521fe128522f48bb1,chinese,mfhc,普惠金融與能力建構,FN-CB-240a.1,34,True,False,True,20,92,92|33|60|82|86,0.0,0.0,0.0,0.0,0.05,34,34|31|32|33|60,1.0,1.0,1.0,1.0,1.0,False,candidate_recall_miss
77ccc6ec4e06c4c042d0,chinese,mfhc,普惠金融與能力建構,FN-CB-240a.2,34,True,True,True,20,33,33|92|82|86|13,0.0,0.0,1.0,1.0,0.16666666666666666,33,33|92|82|86|13,0.0,0.0,1.0,1.0,0.16666666666666666,True,neither_top1
98c28c8aba20cc5e1ea1,chinese,mfhc,一般資訊,FN-CB-000.B,34,True,True,True,20,34,34|86|82|35|83,1.0,1.0,1.0,1.0,1.0,34,34|86|82|35|83,1.0,1.0,1.0,1.0,1.0,False,both_top1
9e0aa44b8c1f76943ad9,chinese,mfhc,一般資訊,FN-CB-000.A,34,True,True,True,20,42,42|86|34|92|16,0.0,1.0,1.0,0.0,0.3333333333333333,92,92|61|42|86|34,0.0,1.0,1.0,0.0,0.2,True,neither_top1
a1574825364597df8164,chinese,mfhc,一般資訊,FN-CB-000.A,34,True,True,True,20,42,42|86|34|92|7,0.0,1.0,1.0,0.0,0.3333333333333333,92,92|42|86|41|34,0.0,1.0,1.0,0.0,0.2,True,neither_top1
a4f3b103d4773e8b5c89,chinese,mfhc,普惠金融與能力建構,FN-CB-240a.1,34,True,True,True,20,33,33|92|82|86|83,0.0,0.0,1.0,1.0,0.16666666666666666,13,13|33|34|81|31,0.0,1.0,1.0,0.0,0.3333333333333333,False,neither_top1
b72fae7297b174804da7,chinese,mfhc,資料安全,,39|40,True,False,False,20,69,69|70|56|55|79,0.0,0.0,0.0,0.0,0.05,69,69|70|56|55|79,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
b8efde469e427e63d8ca,chinese,mfhc,資料安全,,40,True,False,False,20,56,56|66|67|72|69,0.0,0.0,0.0,0.0,0.045454545454545456,56,56|66|67|72|69,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
b962c92b6e01fffff12d,chinese,mfhc,普惠金融與能力建構,FN-CB-240a.2,34,True,False,True,20,92,92|33|82|6|60,0.0,0.0,0.0,0.0,0.047619047619047616,92,92|33|82|6|60,0.0,0.0,0.0,0.0,0.07142857142857142,True,candidate_recall_miss
d754499b0a9a5c833a63,chinese,mfhc,一般資訊,FN-CB-000.B,34,True,True,True,20,86,86|34|42|92|31,0.0,1.0,1.0,0.0,0.5,34,34|86|42|92|31,1.0,1.0,1.0,1.0,1.0,True,vlm_improved_top1
dc80f940f841089616d6,chinese,mfhc,一般資訊,FN-CB-000.B,34,True,True,True,20,34,34|86|42|92|31,1.0,1.0,1.0,1.0,1.0,86,86|34|42|92|31,0.0,1.0,1.0,0.0,0.5,False,vlm_degraded_top1
eccac6748edc6800f408,chinese,mfhc,一般資訊,FN-CB-000.B,34,True,True,True,20,34,34|86|82|35|83,1.0,1.0,1.0,1.0,1.0,34,34|86|82|35|83,1.0,1.0,1.0,1.0,1.0,False,both_top1
f39e92d7d085f27d9994,chinese,mfhc,一般資訊,FN-CB-000.A,34,True,True,True,20,86,86|34|35|82|83,0.0,1.0,1.0,0.0,0.5,92,92|86|34|35|82,0.0,1.0,1.0,0.0,0.3333333333333333,True,neither_top1
429c9cab6bf9262dcb3d,chinese,npc,勞工健康與安全,TC-SC-320a.1,76,True,False,False,20,84,84|97|65|98|91,0.0,0.0,0.0,0.0,0.07142857142857142,97,97|65|62|90|84,0.0,0.0,0.0,0.0,0.0,False,candidate_recall_miss
45e18853cdbe16143a34,chinese,npc,水管理,TC-SC-140a.1,55,True,True,True,20,55,55|101|97|63|54,1.0,1.0,1.0,1.0,1.0,55,55|62|101|97|63,1.0,1.0,1.0,1.0,1.0,False,both_top1
51fc7dd50483d59855e9,chinese,npc,水管理,TC-SC-140a.1,55,True,True,True,20,55,55|101|97|63|87,1.0,1.0,1.0,1.0,1.0,55,55|62|97|100|101,1.0,1.0,1.0,1.0,1.0,False,both_top1
99eeb6d4ed3eef482231,chinese,npc,勞工健康與安全,TC-SC-320a.2,,False,,,20,79,79|98|84|101|78,,,,,,79,79|46|84|85|101,,,,,,False,empty_gold
a9187e160989e5d14c8c,chinese,npc,勞工健康與安全,TC-SC-320a.2,,False,,,20,79,79|98|84|101|78,,,,,,79,79|16|98|84|101,,,,,,False,empty_gold
03dbd00e2be7a8ebc95c,chinese,pegavision,Activity Metrics,HC-MS-000.A,,False,,,20,57,57|31|25|30|16,,,,,,32,32|25|31|30|29,,,,,,True,empty_gold
0e0e8cf374ce4af1620f,chinese,pegavision,Product Design & Lifecycle Management,HC-MS-410a.1,49,True,True,True,20,57,57|46|47|22|28,0.0,0.0,1.0,0.0,0.14285714285714285,57,57|21|56|20|23,0.0,0.0,0.0,0.0,0.06666666666666667,False,neither_top1
4fbf0bb2a56505fe4d78,chinese,pegavision,Supply Chain Management,HC-MS-430a.2,49,True,True,True,20,57,57|46|22|31|21,0.0,0.0,1.0,0.0,0.14285714285714285,57,57|23|48|49|47,0.0,1.0,1.0,0.0,0.25,False,neither_top1
97397fa6bf9876ed9fb9,chinese,pegavision,Ethical Marketing,HC-MS-270a.1,,False,,,20,57,57|23|22|47|46,,,,,,57,57|24|23|22|47,,,,,,True,empty_gold
a607a61dd01d6c649c43,chinese,pegavision,Product Safety,HC-MS-240a.3,,False,,,20,57,57|23|26|43|40,,,,,,57,57|43|26|21|42,,,,,,False,empty_gold
b62d78163142a1943798,chinese,pegavision,Affordability & Pricing,HC-MS-250a.1,,False,,,20,57,57|34|35|40|41,,,,,,57,57|34|35|40|41,,,,,,False,empty_gold
c48ca47e9110bed4cf6b,chinese,pegavision,Product Safety,HC-MS-240a.3,,False,,,20,23,23|57|40|43|26,,,,,,57,57|23|26|47|22,,,,,,True,empty_gold
e18083431ee3ede8f49f,chinese,pegavision,Business Ethics,HC-MS-510a.1,,False,,,20,57,57|43|35|56|55,,,,,,43,43|35|56|55|39,,,,,,True,empty_gold
e1bff43231bea0c80507,chinese,pegavision,Product Safety,HC-MS-240a.2,,False,,,20,57,57|23|22|47|26,,,,,,57,57|23|22|47|26,,,,,,True,empty_gold
ee2c984c1cd669ebdff5,chinese,pegavision,Supply Chain Management,HC-MS-430a.3,49,True,True,True,20,57,57|31|46|49|47,0.0,1.0,1.0,0.0,0.25,50,50|48|49|47|57,0.0,1.0,1.0,1.0,0.3333333333333333,False,neither_top1
f64ca5ae603d7ac5ee1c,chinese,pegavision,Product Safety,HC-MS-240a.2,,False,,,20,57,57|23|22|47|26,,,,,,57,57|23|22|47|26,,,,,,True,empty_gold
0874e8503c17740090d4,chinese,psi,材料取得,TC-SC-440a.1,44,True,True,True,20,79,79|44|5|78|57,0.0,1.0,1.0,0.0,0.5,44,44|42|45|46|17,1.0,1.0,1.0,1.0,1.0,False,vlm_improved_top1
977fb80b768ae44c1eeb,chinese,psi,廢棄物管理,,55,True,True,True,20,54,54|46|84|2|55,0.0,1.0,1.0,1.0,0.2,54,54|55|18|56|48,0.0,1.0,1.0,1.0,0.5,False,neither_top1
9f8f1546a35429aff0cb,chinese,psi,勞工健康與安全,TC-SC-320a.1,,False,,,20,78,78|79|5|57|44,,,,,,78,78|74|71|75|76,,,,,,False,empty_gold
a59b89d660b2bdfc3009,chinese,psi,水管理,TC-SC-140a.1,52,True,True,True,20,78,78|80|52|79|18,0.0,1.0,1.0,0.0,0.3333333333333333,52,52|53|56|80|78,1.0,1.0,1.0,1.0,1.0,False,vlm_improved_top1
c5837a23191559acce9e,chinese,psi,廢棄物管理,,55,True,True,True,20,55,55|53|80|51|46,1.0,1.0,1.0,1.0,1.0,54,54|55|53|80|51,0.0,1.0,1.0,1.0,0.5,False,vlm_degraded_top1
c80ec6b446a1b53dc268,chinese,psi,水管理,TC-SC-140a.1,52,True,True,True,20,78,78|80|52|79|18,0.0,1.0,1.0,0.0,0.3333333333333333,52,52|53|80|56|78,1.0,1.0,1.0,1.0,1.0,False,vlm_improved_top1
3c095cba3aaf07325dc1,chinese,spt,"Employee Recruitment, Development & Retention",,68,True,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,False,candidate_recall_miss
4955d4323e532e85d09b,chinese,spt,"Employee Recruitment, Development & Retention",HC-BP-330a.2,65,True,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,False,candidate_recall_miss
985bef32aef227d8689c,chinese,spt,"Employee Recruitment, Development & Retention",,68,True,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,True,candidate_recall_miss
4c7021e8b1f4b5094d21,chinese,standard,Access to Medicines,HC-BP-210a.2,,False,,,20,56,56|57|59|50|55,,,,,,56,56|57|59|50|55,,,,,,False,empty_gold
c6f321213d1f314943f3,chinese,standard,"Employee Recruitment, Development & Retention",HC-BP-330a.2,,False,,,20,64,64|65|59|58|62,,,,,,59,59|64|65|62|61,,,,,,False,empty_gold
06820c3d82227985ff7f,chinese,tcfh,普惠金融與能力建構,FN-CB-240a.2,,False,,,20,183,183|175|182|107|189,,,,,,183,183|175|182|107|189,,,,,,True,empty_gold
0e8a3b6f1216f2139e9c,chinese,tcfh,商業倫理,FN-CB-510a.2,57,True,False,False,20,175,175|190|189|187|188,0.0,0.0,0.0,0.0,0.0,190,190|189|187|188|175,0.0,0.0,0.0,0.0,0.0,False,candidate_recall_miss
2d2d45622e5aacae08c9,chinese,tcfh,將環境、社會及治理因素納入信用分析,FN-CB-410a.2,86|88|91,True,True,True,20,175,175|87|89|86|94,0.0,1.0,1.0,0.0,0.25,175,175|88|89|87|86,0.0,1.0,1.0,0.0,0.5,False,neither_top1
6e46bc48d7eb1a2796b7,chinese,tcfh,系統性風險管理,FN-CB-550a.2,60|61,True,False,False,20,87,87|89|175|28|38,0.0,0.0,0.0,0.0,0.0,89,89|87|175|27|28,0.0,0.0,0.0,0.0,0.0,False,candidate_recall_miss
8871355ed3fe7c9955a3,chinese,tcfh,普惠金融與能力建構,FN-CB-240a.2,,False,,,20,183,183|175|107|106|108,,,,,,183,183|175|184|182|185,,,,,,True,empty_gold
bd04fcdcc4ed2631bbe5,chinese,tcfh,普惠金融與能力建構,FN-CB-240a.1,,False,,,20,183,183|175|128|182|107,,,,,,175,175|183|107|108|99,,,,,,False,empty_gold
ded71f1ae5ed182ae5b5,chinese,tcfh,普惠金融與能力建構,FN-CB-240a.1,,False,,,20,183,183|107|105|175|106,,,,,,183,183|175|184|107|105,,,,,,False,empty_gold
0c99967238f3168db8bb,chinese,tsmc,製造之能源管理,TC-SC-130a.1,102,True,False,False,20,19,19|222|96|218|233,0.0,0.0,0.0,0.0,0.058823529411764705,228,228|223|220|19|222,0.0,0.0,0.0,0.0,0.0,False,candidate_recall_miss
